County,Year,Mortality
"Autauga, Alabama",1980,552.68
"Baldwin, Alabama",1980,445.67
"Barbour, Alabama",1980,515.53
"Bibb, Alabama",1980,548.69
"Blount, Alabama",1980,473.26
"Bullock, Alabama",1980,597.64
"Butler, Alabama",1980,550.37
"Calhoun, Alabama",1980,537.99
"Chambers, Alabama",1980,485.45
"Cherokee, Alabama",1980,542.97
"Chilton, Alabama",1980,547.04
"Choctaw, Alabama",1980,531.36
"Clarke, Alabama",1980,552.28
"Clay, Alabama",1980,489.58
"Cleburne, Alabama",1980,520.06
"Coffee, Alabama",1980,448.47
"Colbert, Alabama",1980,514.95
"Conecuh, Alabama",1980,533.95
"Coosa, Alabama",1980,502.43
"Covington, Alabama",1980,510.27
"Crenshaw, Alabama",1980,522.87
"Cullman, Alabama",1980,483.06
"Dale, Alabama",1980,466.10
"Dallas, Alabama",1980,503.84
"DeKalb, Alabama",1980,540.16
"Elmore, Alabama",1980,559.31
"Escambia, Alabama",1980,529.06
"Etowah, Alabama",1980,543.85
"Fayette, Alabama",1980,476.39
"Franklin, Alabama",1980,553.24
"Geneva, Alabama",1980,516.35
"Greene, Alabama",1980,535.74
"Hale, Alabama",1980,583.82
"Henry, Alabama",1980,559.40
"Houston, Alabama",1980,506.26
"Jackson, Alabama",1980,576.29
"Jefferson, Alabama",1980,487.64
"Lamar, Alabama",1980,541.52
"Lauderdale, Alabama",1980,438.63
"Lawrence, Alabama",1980,535.99
"Lee, Alabama",1980,562.70
"Limestone, Alabama",1980,561.62
"Lowndes, Alabama",1980,530.88
"Macon, Alabama",1980,537.46
"Madison, Alabama",1980,527.54
"Marengo, Alabama",1980,553.97
"Marion, Alabama",1980,465.79
"Marshall, Alabama",1980,548.18
"Mobile, Alabama",1980,529.17
"Monroe, Alabama",1980,483.01
"Montgomery, Alabama",1980,548.36
"Morgan, Alabama",1980,521.41
"Perry, Alabama",1980,450.56
"Pickens, Alabama",1980,510.68
"Pike, Alabama",1980,538.99
"Randolph, Alabama",1980,541.85
"Russell, Alabama",1980,746.17
"St. Clair, Alabama",1980,497.45
"Shelby, Alabama",1980,524.58
"Sumter, Alabama",1980,495.10
"Talladega, Alabama",1980,549.09
"Tallapoosa, Alabama",1980,556.74
"Tuscaloosa, Alabama",1980,477.56
"Walker, Alabama",1980,513.36
"Washington, Alabama",1980,584.60
"Wilcox, Alabama",1980,505.40
"Winston, Alabama",1980,583.56
"Aleutians East, Alaska",1980,582.21
"Aleutians West, Alaska",1980,582.21
"Anchorage, Alaska",1980,382.10
"Bethel, Alaska",1980,394.78
"Bristol Bay, Alaska",1980,433.67
"Denali, Alaska",1980,466.79
"Dillingham, Alaska",1980,575.18
"Fairbanks North Star, Alaska",1980,472.97
"Haines, Alaska",1980,373.74
"Hoonah-Angoon, Alaska",1980,482.90
"Juneau, Alaska",1980,379.20
"Kenai Peninsula, Alaska",1980,422.14
"Ketchikan Gateway, Alaska",1980,482.77
"Kodiak Island, Alaska",1980,515.17
"Kusilvak, Alaska",1980,444.44
"Lake and Peninsula, Alaska",1980,575.18
"Matanuska-Susitna, Alaska",1980,400.64
"Nome, Alaska",1980,475.06
"North Slope, Alaska",1980,631.77
"Northwest Arctic, Alaska",1980,484.82
"Petersburg, Alaska",1980,482.77
"Prince of Wales-Hyder, Alaska",1980,482.77
"Sitka, Alaska",1980,549.08
"Skagway, Alaska",1980,482.90
"Southeast Fairbanks, Alaska",1980,481.91
