Year,Mortality
1980,572.8081273
1981,564.6218179
1982,550.2329373
1983,548.7761297
1984,540.6037855
1985,539.9034112
1986,530.0143542
1987,520.9566318
1988,515.6055162
1989,502.9678258
1990,486.9725942
1991,482.600845
1992,471.6679176
1993,476.9765527
1994,475.6440503
1995,475.255222
1996,466.4140054
1997,460.8922116
1998,455.9677783
1999,453.0773086
2000,448.7628695
2001,438.9657968
2002,432.5216035
2003,418.6569543
2004,399.4865799
2005,394.2497417
2006,381.789163
2007,368.4938231
2008,361.8212734
2009,353.7935468
2010,347.0290712
2011,346.7722207
2012,343.742456
2013,344.8919492
2014,347.9191072
