State,1980,1985,1990,1995,2000,2005,2010,2014
Alabama,"516.87 (508.36, 524.93)","485.17 (477.42, 493.18)","436.61 (429.10, 444.50)","414.45 (406.84, 422.16)","397.40 (389.49, 405.04)","352.09 (344.74, 359.36)","310.55 (303.87, 317.53)","310.59 (303.44, 317.77)"
Alaska,"436.87 (417.02, 456.68)","383.95 (367.87, 400.17)","336.37 (323.58, 348.85)","315.33 (303.77, 327.54)","287.88 (277.82, 297.24)","244.18 (235.50, 252.26)","215.68 (207.90, 223.35)","217.01 (208.93, 225.04)"
Arizona,"413.70 (402.27, 423.94)","373.15 (363.56, 383.35)","338.85 (330.77, 346.94)","312.23 (304.50, 320.18)","287.18 (280.29, 294.77)","253.25 (246.73, 260.00)","212.01 (206.25, 217.49)","209.33 (203.93, 214.85)"
Arkansas,"520.61 (512.90, 527.66)","489.37 (482.37, 496.23)","444.04 (437.27, 450.64)","431.32 (424.26, 438.40)","408.79 (402.03, 415.90)","361.81 (355.76, 368.41)","322.61 (316.66, 328.94)","324.15 (317.65, 330.43)"
California,"478.25 (469.82, 486.44)","443.79 (435.68, 451.53)","397.68 (390.59, 405.00)","361.00 (354.40, 367.43)","328.56 (322.70, 334.64)","276.98 (271.97, 282.49)","234.19 (229.42, 239.33)","221.94 (216.95, 227.11)"
Colorado,"401.63 (390.33, 412.62)","371.32 (360.89, 381.38)","331.71 (322.93, 340.65)","306.55 (297.47, 314.69)","280.94 (273.18, 288.90)","242.88 (236.46, 249.44)","205.59 (199.96, 211.24)","209.52 (203.89, 215.40)"
Connecticut,"470.72 (460.33, 480.64)","430.94 (421.58, 440.12)","364.74 (356.39, 372.82)","344.06 (336.37, 351.57)","310.31 (303.55, 317.24)","255.33 (249.55, 261.08)","220.62 (215.15, 226.08)","218.57 (212.54, 224.15)"
Delaware,"533.37 (517.14, 547.62)","494.29 (480.45, 508.58)","421.76 (410.34, 433.46)","385.48 (375.21, 395.99)","351.07 (342.15, 360.13)","304.01 (295.65, 312.22)","253.98 (246.36, 261.17)","250.57 (243.43, 257.49)"
District of Columbia,"522.75 (506.62, 539.22)","487.71 (473.00, 500.11)","449.72 (436.11, 463.29)","424.91 (412.81, 437.23)","398.56 (387.07, 410.34)","351.94 (341.23, 363.29)","292.39 (283.74, 301.44)","295.67 (286.03, 304.94)"
Florida,"448.93 (441.31, 456.38)","418.11 (410.98, 425.25)","366.53 (359.99, 373.03)","346.92 (340.31, 353.77)","317.30 (311.10, 323.52)","271.51 (266.30, 276.90)","234.72 (229.66, 239.86)","231.20 (226.11, 236.21)"
Georgia,"540.61 (531.90, 549.38)","498.80 (490.26, 507.26)","436.80 (428.98, 445.01)","411.43 (403.43, 419.46)","380.53 (372.80, 388.10)","326.03 (319.59, 332.71)","283.53 (277.39, 290.03)","275.49 (269.16, 281.68)"
Hawaii,"360.23 (344.48, 375.91)","336.95 (323.12, 350.27)","306.53 (295.09, 318.19)","292.08 (281.72, 303.41)","263.70 (255.31, 272.65)","226.97 (219.77, 234.94)","199.47 (192.98, 205.92)","205.85 (199.08, 213.27)"
Idaho,"418.32 (407.91, 429.24)","390.66 (381.69, 400.19)","344.79 (336.55, 353.40)","325.57 (317.52, 333.94)","304.66 (297.30, 312.23)","264.78 (258.17, 271.94)","231.93 (226.06, 238.58)","231.48 (225.24, 237.87)"
Illinois,"544.55 (535.88, 553.06)","497.82 (489.85, 505.58)","434.51 (427.22, 442.19)","413.35 (405.63, 420.87)","362.49 (355.87, 369.15)","307.86 (301.96, 314.01)","262.43 (256.99, 267.81)","258.33 (252.49, 264.16)"
